,ITEM,AREA_PLANTED,COUNTY,STATE,DATE,AREAHARVESTED,PRODUCTION_Q,YIELD,P_PRICE,CROP_DEN,P_VALUE,EXP_VAL,IMP_VAL,LABOR_EXP,DOM_CONSUMP,LOC,deltay,deltayhat
9587,Corn,46892.94879,Adair, Iowa,1926,40111.2268,92257.6712,2.297311728,0.69,NA,NA,NA,NA,NA,NA,NA,-760.80901,NA
9680,Corn,31195.19273,Adams, Iowa,1926,27669.9761,65306.8482,2.360079808,0.69,NA,NA,NA,NA,NA,NA,NA,412.77935,NA
9773,Corn,18899.62886,Allamakee, Iowa,1926,13794.1148,33199.55294,2.404017464,0.69,NA,NA,NA,NA,NA,NA,NA,-552.80059,NA
9866,Corn,38337.48963,Audubon, Iowa,1926,34654.4456,92181.46718,2.661366592,0.69,NA,NA,NA,NA,NA,NA,NA,426.53867,NA
9959,Corn,58991.83543,Benton, Iowa,1926,50668.26115,135287.5432,2.6676434,0.69,NA,NA,NA,NA,NA,NA,NA,-775.78237,NA
10052,Corn,43423.98346,Black Hawk, Iowa,1926,32808.67438,85500.91445,2.60487532,0.69,NA,NA,NA,NA,NA,NA,NA,-148.11494,NA
10145,Corn,57604.97774,Boone, Iowa,1926,51676.33308,143695.3871,2.780625944,0.69,NA,NA,NA,NA,NA,NA,NA,-76.89027,NA
10238,Corn,29017.57929,Bremer, Iowa,1926,22723.5035,59972.56655,2.63625936,0.69,NA,NA,NA,NA,NA,NA,NA,-202.74751,NA
10331,Corn,43918.91401,Buchanan, Iowa,1926,29164.48018,63274.7409,2.171775568,0.69,NA,NA,NA,NA,NA,NA,NA,-2342.3205,NA
10424,Corn,60139.52392,Buena Vista, Iowa,1926,50026.8344,113569.3965,2.272204496,0.69,NA,NA,NA,NA,NA,NA,NA,-123.02444,NA
10517,Corn,46180.70206,Butler_IA, Iowa,1926,36537.85258,84942.08494,2.32241896,0.69,NA,NA,NA,NA,NA,NA,NA,-230.67082,NA
10610,Corn,60207.5111,Calhoun, Iowa,1926,56149.72817,135033.5298,2.404017464,0.69,NA,NA,NA,NA,NA,NA,NA,-456.89009,NA
10703,Corn,55658.84449,Carroll_IA, Iowa,1926,50802.21209,135262.1418,2.661366592,0.69,NA,NA,NA,NA,NA,NA,NA,-666.92194,NA
10796,Corn,51623.31926,Cass, Iowa,1926,43472.54574,96906.11664,2.22826684,0.69,NA,NA,NA,NA,NA,NA,NA,297.03926,NA
10889,Corn,45093.31174,Cedar_IA, Iowa,1926,38001.60055,107371.4692,2.8245636,0.69,NA,NA,NA,NA,NA,NA,NA,-2154.14167,NA
10982,Corn,45994.14198,Cerro Gordo, Iowa,1926,34027.18285,72851.04653,2.140391528,0.69,NA,NA,NA,NA,NA,NA,NA,94.29175,NA
11075,Corn,57306.72442,Cherokee, Iowa,1926,48824.10867,135135.1351,2.768072328,0.69,NA,NA,NA,NA,NA,NA,NA,-739.36067,NA
11168,Corn,30721.71053,Chickasaw, Iowa,1926,20546.69943,46941.67852,2.284758112,0.69,NA,NA,NA,NA,NA,NA,NA,-211.65059,NA
11261,Corn,24752.19262,Clarke, Iowa,1926,22249.61661,49507.21398,2.221990032,0.69,NA,NA,NA,NA,NA,NA,NA,-503.02425,NA
11354,Corn,54789.57973,Clay, Iowa,1926,48052.37315,121494.6149,2.529553624,0.69,NA,NA,NA,NA,NA,NA,NA,-3154.1199,NA
11447,Corn,33703.02965,Clayton, Iowa,1926,23750.19097,63833.57041,2.686473824,0.69,NA,NA,NA,NA,NA,NA,NA,-717.50764,NA
11540,Corn,52134.03254,Clinton_IA, Iowa,1926,45911.58611,117303.3936,2.554660856,0.69,NA,NA,NA,NA,NA,NA,NA,-3128.22001,NA
11633,Corn,63788.97904,Crawford_IA, Iowa,1926,57732.04903,156015.0376,2.705304248,0.69,NA,NA,NA,NA,NA,NA,NA,-807.75254,NA
11726,Corn,57004.01956,Dallas, Iowa,1926,49497.91027,140723.4302,2.843394024,0.69,NA,NA,NA,NA,NA,NA,NA,906.09115,NA
11819,Corn,30406.46041,Decatur, Iowa,1926,27711.25404,52199.75615,1.8830424,0.69,NA,NA,NA,NA,NA,NA,NA,-1527.6883,NA
11912,Corn,37803.70927,Delaware, Iowa,1926,26911.99989,65891.07905,2.44795512,0.69,NA,NA,NA,NA,NA,NA,NA,-1337.89074,NA
12005,Corn,28435.23665,Des Moines, Iowa,1926,25644.92915,62233.28592,2.429124696,0.69,NA,NA,NA,NA,NA,NA,NA,-2157.78385,NA
12098,Corn,34906.16007,Dickinson, Iowa,1926,30258.34547,68405.81182,2.25965088,0.69,NA,NA,NA,NA,NA,NA,NA,-1387.66707,NA
12191,Corn,28820.49738,Dubuque, Iowa,1926,24126.9533,60353.58667,2.504446392,0.69,NA,NA,NA,NA,NA,NA,NA,-1505.0259,NA
12284,Corn,37092.27191,Emmet, Iowa,1926,32167.65233,80115.83011,2.491892776,0.69,NA,NA,NA,NA,NA,NA,NA,-2350.00953,NA
12377,Corn,41584.28254,Fayette, Iowa,1926,27937.87799,63884.37309,2.284758112,0.69,NA,NA,NA,NA,NA,NA,NA,-1488.83848,NA
12470,Corn,39899.57621,Floyd, Iowa,1926,29774.74612,67389.75818,2.265927688,0.69,NA,NA,NA,NA,NA,NA,NA,204.77093,NA
12563,Corn,54662.91312,Franklin, Iowa,1926,39284.85872,92943.50741,2.366356616,0.69,NA,NA,NA,NA,NA,NA,NA,1143.23694,NA
12656,Corn,63459.56492,Fremont, Iowa,1926,61563.20801,145117.8622,2.360079808,0.69,NA,NA,NA,NA,NA,NA,NA,192.63037,NA
12749,Corn,63727.87151,Greene_IA, Iowa,1926,56420.05818,147861.2071,2.623705744,0.69,NA,NA,NA,NA,NA,NA,NA,-244.02545,NA
12842,Corn,44555.88921,Grundy_IA, Iowa,1926,38232.67605,101935.5822,2.6676434,0.69,NA,NA,NA,NA,NA,NA,NA,-826.77277,NA
12935,Corn,48388.26224,Guthrie, Iowa,1926,44024.53696,113772.6072,2.586044896,0.69,NA,NA,NA,NA,NA,NA,NA,969.22211,NA
13028,Corn,59202.27197,Hamilton, Iowa,1926,51330.73154,144355.822,2.812009984,0.69,NA,NA,NA,NA,NA,NA,NA,-407.51844,NA
13121,Corn,51495.84328,Hancock_IA, Iowa,1926,43086.88033,99522.45478,2.309865344,0.69,NA,NA,NA,NA,NA,NA,NA,-1006.85787,NA
13214,Corn,54094.73448,Hardin, Iowa,1926,43114.39895,108590.7336,2.517000008,0.69,NA,NA,NA,NA,NA,NA,NA,162.68363,NA
13307,Corn,75000.79475,Harrison, Iowa,1926,70062.82055,165692.9486,2.366356616,0.69,NA,NA,NA,NA,NA,NA,NA,-554.41933,NA
13400,Corn,30329.57014,Henry_IA, Iowa,1926,26058.92256,64671.81467,2.47933916,0.69,NA,NA,NA,NA,NA,NA,NA,-1045.7077,NA
13493,Corn,23736.83634,Howard_IA, Iowa,1926,11198.86578,21311.72526,1.901872824,0.69,NA,NA,NA,NA,NA,NA,NA,-562.91773,NA
13586,Corn,44897.44389,Humboldt, Iowa,1926,38825.9452,106736.4357,2.749241904,0.69,NA,NA,NA,NA,NA,NA,NA,-802.49163,NA
13679,Corn,43203.42979,Ida, Iowa,1926,33484.49941,70006.09632,2.090177064,0.69,NA,NA,NA,NA,NA,NA,NA,1027.09216,NA
13772,Corn,41804.02684,Iowa, Iowa,1926,36389.73763,102850.0305,2.8245636,0.69,NA,NA,NA,NA,NA,NA,NA,-2254.9084,NA
13865,Corn,27560.71098,Jackson_IA, Iowa,1926,23001.92722,59007.31558,2.567214472,0.69,NA,NA,NA,NA,NA,NA,NA,-1084.55752,NA
13958,Corn,63156.05069,Jasper_IA, Iowa,1926,54396.22528,147480.1869,2.711581056,0.69,NA,NA,NA,NA,NA,NA,NA,-1342.74696,NA
