X,ITEM,AREAPLANTED,COUNTY,STATE,DATE,AREAHARVESTED,PRODUCTION_Q,YIELD,P_PRICE,CROP_DEN,P_VALUE,EXP_VAL,IMP_VAL,LABOR_EXP,DOM_CONSUMP,LOC,deltay,deltayhat
1,Corn,46892.94879,Adair, Iowa,1926,40111.2268,92257.6712,2.297311728,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.622437978,NA
94,Corn,31195.19273,Adams, Iowa,1926,27669.9761,65306.8482,2.360079808,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.323214617,NA
187,Corn,18899.62886,Allamakee, Iowa,1926,13794.1148,33199.55294,2.404017464,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.924928283,NA
280,Corn,38337.48963,Audubon, Iowa,1926,34654.4456,92181.46718,2.661366592,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.112588941,NA
373,Corn,58991.83543,Benton, Iowa,1926,50668.26115,135287.5432,2.6676434,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.315067355,NA
466,Corn,43423.98346,Black Hawk, Iowa,1926,32808.67438,85500.91445,2.60487532,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.341090172,NA
559,Corn,57604.97774,Boone, Iowa,1926,51676.33308,143695.3871,2.780625944,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.133478517,NA
652,Corn,29017.57929,Bremer, Iowa,1926,22723.5035,59972.56655,2.63625936,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.698705802,NA
745,Corn,43918.91401,Buchanan, Iowa,1926,29164.48018,63274.7409,2.171775568,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.333284196,NA
838,Corn,60139.52392,Buena Vista, Iowa,1926,50026.8344,113569.3965,2.272204496,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.204565038,NA
931,Corn,46180.70206,Butler, Iowa,1926,36537.85258,84942.08494,2.32241896,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.499496131,NA
1024,Corn,60207.5111,Calhoun, Iowa,1926,56149.72817,135033.5298,2.404017464,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.758858956,NA
1117,Corn,55658.84449,Carroll, Iowa,1926,50802.21209,135262.1418,2.661366592,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.198231739,NA
1210,Corn,51623.31926,Cass, Iowa,1926,43472.54574,96906.11664,2.22826684,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.575397445,NA
1303,Corn,45093.31174,Cedar, Iowa,1926,38001.60055,107371.4692,2.8245636,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.777075772,NA
1396,Corn,45994.14198,Cerro Gordo, Iowa,1926,34027.18285,72851.04653,2.140391528,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.205008173,NA
1489,Corn,57306.72442,Cherokee, Iowa,1926,48824.10867,135135.1351,2.768072328,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.290181349,NA
1582,Corn,30721.71053,Chickasaw, Iowa,1926,20546.69943,46941.67852,2.284758112,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.688928404,NA
1675,Corn,24752.19262,Clarke, Iowa,1926,22249.61661,49507.21398,2.221990032,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.032241174,NA
1768,Corn,54789.57973,Clay, Iowa,1926,48052.37315,121494.6149,2.529553624,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.756787907,NA
