"","ITEM","AREAPLANTED","COUNTY","STATE","DATE","AREAHARVESTED","PRODUCTION_Q","YIELD","P_PRICE","CROP_DEN","P_VALUE","EXP_VAL","IMP_VAL","LABOR_EXP","DOM_CONSUMP","LOC","deltay","deltayhat"
"1","Corn",46892.94879,"Adair"," Iowa",1926,40111.2268,92257.6712,2.297311728,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.622437978,NA
"2","Corn",31195.19273,"Adams_IO"," Iowa",1926,27669.9761,65306.8482,2.360079808,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.323214617,NA
"796","Corn",35947.41623,"Keokuk"," Iowa",1934,33720.02645,87101.19894,2.586044896,0.79,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0,-15.01583383
"809","Corn",36172.42144,"Montgomery_IO"," Iowa",1934,33660.94235,67618.37025,2.00857856,0.79,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0,-17.37550957
"822","Corn",52585.25703,"Shelby_IO"," Iowa",1934,49736.6748,113340.7844,2.278481304,0.79,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0,-16.19899522
"835","Corn",81149.5884,"Woodbury"," Iowa",1934,71872.97943,130334.2816,1.813997512,0.79,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0,-15.49405582
"848","Corn",44933.05622,"Boone_IO"," Iowa",1935,38880.17307,98506.40113,2.535830432,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,7.697780834,0
"860","Corn",58708.55549,"Crawford_IO"," Iowa",1935,54479.59052,102570.6157,1.8830424,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,8.546101242,0
"861","Corn",50572.35065,"Dallas"," Iowa",1935,45335.71844,112172.3227,2.473062352,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,14.4110045,0
"873","Corn",41880.51243,"Grundy_IO"," Iowa",1935,38565.73233,113874.2126,2.95009976,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,5.999671456,0
"874","Corn",44084.83512,"Guthrie"," Iowa",1935,41053.73966,90682.78805,2.209436416,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,10.40702797,0
"886","Corn",21132.27955,"Jefferson_IO"," Iowa",1935,19648.70199,44071.32696,2.240820456,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,18.11601144,0
"887","Corn",40937.99956,"Johnson_IO"," Iowa",1935,38275.16804,100538.5084,2.623705744,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,8.497429839,0
"893","Corn",24976.38847,"Louisa"," Iowa",1935,23139.92502,55044.70636,2.378910232,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,18.9960789,0
"899","Corn",29312.59512,"Mitchell"," Iowa",1935,19318.88319,47779.92278,2.473062352,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,13.62776637,0
"900","Corn",59510.64243,"Monona"," Iowa",1935,56210.02633,115195.0823,2.046239408,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,13.29307601,0
"906","Corn",41018.93669,"Page"," Iowa",1935,37560.89788,66195.89514,1.763783048,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,9.32813734,0
"912","Corn",22014.08956,"Ringgold"," Iowa",1935,17697.7125,19254.21662,1.085887784,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,24.61119896,0
"913","Corn",51110.98724,"Sac"," Iowa",1935,46965.38752,106914.2451,2.278481304,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,6.335017175,0
"919","Corn",29756.53527,"Taylor"," Iowa",1935,25208.27334,31192.84698,1.236531176,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,18.97048823,0
"920","Corn",22154.51548,"Union"," Iowa",1935,19422.48271,35307.86425,1.82027432,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,17.57968764,0
"921","Corn",13998.88573,"Van Buren"," Iowa",1935,12601.9109,23877.26072,1.895596016,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,21.7275671,0
"923","Corn",37411.16419,"Washington_IO"," Iowa",1935,35002.87994,95864.66165,2.736688288,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,13.64378821,0
"925","Corn",65226.82712,"Webster_IO"," Iowa",1935,62450.27893,156192.847,2.498169584,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,9.397626254,0
"926","Corn",30834.21314,"Winnebago_IO"," Iowa",1935,26837.94242,72724.03983,2.711581056,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,10.83039124,0
"928","Corn",81149.5884,"Woodbury"," Iowa",1935,71872.97943,130334.2816,1.813997512,0.62,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.224660267,0
"932","Corn",33212.95534,"Adams_IO"," Iowa",1936,20525.65577,10744.76732,0.520975064,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.683237692,12.54782574
"933","Corn",19490.4699,"Allamakee"," Iowa",1936,15943.40025,29643.36517,1.857935168,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.573854923,5.708829947
"934","Corn",39986.58362,"Audubon"," Iowa",1936,25449.0613,17222.10933,0.677895264,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.9765406,12.8239969
"936","Corn",45030.99015,"Black Hawk"," Iowa",1936,28997.74969,42242.4304,1.456219456,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,4.373887879,9.186356851
"938","Corn",30112.65864,"Bremer"," Iowa",1936,21839.67005,26950.823,1.236531176,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,3.315414597,6.491685058
